Name;Symbol;Coin Market Cap;Price;Volume;max_supply;total_supply
Bitcoin; BTC; 1071091486888,6232; 56704,50986757495;34013565177.897343;21000000;18889000
Ethereum; ETH; 542144211508,73047; 4572,086177450236;23275538513.10175;None;118576988.8115
Binance Coin; BNB; 104270408903,43236; 625,118053164912;2585533933.2805576;166801148;166801148
Tether; USDT; 74148689521,97394; 1,0008846192375942;77853101704.99573;None;76351995265.76913
Solana; SOL; 69550798642,4401; 227,65774668219098;3796069131.5073385;None;510205404.27443224
Cardano; ADA; 56228299786,47665; 1,6878660891387345;3088659988.047936;45000000000;33719282563.077
XRP; XRP; 46194243464,01136; 0,9783578125825207;2457144789.4662123;100000000000;99990106991
USD Coin; USDC; 39044996598,77311; 1,0002230434824146;5277726388.439306;None;39036289808.75362
Polkadot; DOT; 35748630870,15929; 36,19823778074243;1155039373.4008372;None;1103303471.382273
Dogecoin; DOGE; 28020427723,670197; 0,21170031880498238;1922758102.3470032;None;132358930217.21199
Avalanche; AVAX; 25898329354,563164; 115,63767091475397;1128715238.7342856;None;394802849.77866876
Terra; LUNA; 25328769919,494442; 65,12064056562077;2646407917.309035;None;865322247.692296
SHIBA INU; SHIB; 23700337329,319878; 4,3168835307175626e-05;2474907413.963826;None;589736612220672.8
Crypto.com Coin; CRO; 17822815483,090195; 0,7054904731629116;454725741.8326872;30263013692;30263013692
Polygon; MATIC; 14512399945,105692; 2,0667979487281296;3593689670.7217107;10000000000;10000000000
Uniswap; UNI; 14390792470,588163; 22,918700785017585;576071524.701537;1000000000;1000000000
Wrapped Bitcoin; WBTC; 14193318357,302967; 55884,51041806488;281487761.5277977;None;253975.89155071
Litecoin; LTC; 14158343243,939676; 204,8990018987409;1610643912.5519397;84000000;84000000
Binance USD; BUSD; 13504052514,731047; 1,0002311501845784;7059328411.899338;None;13500931771.86
Algorand; ALGO; 11803918480,438997; 1,8772195671298408;732016576.8404369;10000000000;6740528740.25606
Chainlink; LINK; 11615202178,879805; 24,871444452146264;846619314.3301011;1000000000;1000000000
Bitcoin Cash; BCH; 10734751111,770016; 567,4808295281905;940713473.5255369;21000000;18916500
Axie Infinity; AXS; 8191441410,982268; 134,48986431855303;369834743.48476416;270000000;270000000
Stellar; XLM; 8052198133,541011; 0,33062726470800263;528397673.0800689;50001806812;50001802514.57205
Decentraland; MANA; 7975499159,982099; 4,371074367269647;1728394433.6611328;None;2193973427.320146
TerraUSD; UST; 7732771600,747237; 1,003344803165213;174739909.4478785;None;7706993225.412601
VeChain; VET; 7536979550,627712; 0,11718746691671249;435958729.5309924;86712634466;86712634466
Internet Computer; ICP; 7386434509,054175; 40,23492695566639;178483790.0322462;None;475060125.90176255
Elrond; EGLD; 7140242042,79412; 360,3668696663462;650771899.0269997;31415926;22814513
Filecoin; FIL; 7004520665,145851; 53,70779697850043;476710997.641218;None;130419065
TRON; TRX; 6953902601,282291; 0,09704069006954257;1948627493.584372;None;100850743811.662
FTX Token; FTT; 6815474842,0817375; 48,87039258424111;250823582.72650862;352170015;335329538.4859715
Dai; DAI; 6474461212,123634; 0,9999242463058513;777420494.5794058;None;6474952202.474523
THETA; THETA; 6362393824,592745; 6,362393824592745;198598938.547552;1000000000;1000000000
Ethereum Classic; ETC; 6219095873,696794; 47,34161774402076;582583636.0284281;210700000;210700000
Hedera; HBAR; 6162957235,697158; 0,3406305169619388;67866815.05290267;50000000000;50000000000
Bitcoin BEP2; BTCB; 5967513889,330357; 56773,168273620526;55959733.80839781;None;112501
Cosmos; ATOM; 5962368461,616639; 26,436451813237245;386296414.8007265;None;283320484.431379
The Sandbox; SAND; 5750285560,714592; 6,296534351117712;1858342823.5373511;3000000000;3000000000
Fantom; FTM; 5350818576,538791; 2,1024775590165277;455934838.3246794;3175000000;2545006273
NEAR Protocol; NEAR; 4648293254,998642; 8,180588831023103;132998998.51505913;1000000000;1000000000
Tezos; XTZ; 4474961781,243815; 5,149271277960525;211014289.38884288;None;897775919.839333
